CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,
#DIV/0!,0.579667566,1.109351764,0.033853114,0.38002416,-1.794055774,-1.949290704,1.258635487,-0.583221595,-0.098934524,0.140982694,-0.928279664,-2.644807672,0.428006343,-1.126063148,0.18399526,0.095065772,0.083040881,0.030712358,-0.050218619,0.078230908,-0.212953631,-0.112425451,-0.095987604,-0.118587739,0.786187448,-0.765781349,-3.657018758,-0.074206447,#DIV/0!,0.158571554,-0.54419233,0.786981103,-0.287509564,pre
#DIV/0!,2.998573875,0.009763792,0.951378368,1.923953715,-0.56328949,-0.225957224,1.389150433,-0.127390494,-0.08482049,0.005488474,-0.942439997,-2.725017023,-1.578775517,-1.015361685,-0.253211999,-0.153665534,-0.071773866,0.002761407,-0.092706554,-0.00204603,-0.220025243,-0.124656288,-0.019969464,-0.066137056,1.370795967,0.155230299,-6.518487452,0.442730204,#DIV/0!,1.554029126,0.38637986,2.300733088,0.162579277,pre
-3.2791605,-0.183356644,0.766827934,0.020992099,0.280073033,-1.009023354,-1.082612917,3.848891291,-0.350287244,-0.07038735,-0.052403157,-1.012442011,-2.873230743,-1.227166851,-1.212072821,-0.315550244,-0.308428773,-0.248379254,-0.21601028,-0.034341933,-0.118427816,-0.133290912,-0.086369401,-0.006934035,-0.065658104,1.041834743,0.250628919,-4.104647993,-0.12887648,#DIV/0!,0.714429264,-0.55593436,2.74987632,0.092757072,pre
#DIV/0!,1.787238879,0.355963558,0.389235325,0.942520767,-0.74081307,-0.329265654,1.150120021,-0.141276481,-0.078865335,-0.088619217,-1.027459912,-2.83564298,-0.299070019,-1.393620003,0.029385203,-0.100960976,-0.145415532,-0.025120314,-0.018014327,-0.006026087,-0.129463706,-0.077143865,-0.048102078,-0.070498059,0.629014964,0.318404848,-7.101860236,-0.026088258,#DIV/0!,1.11659837,0.033334563,-1.95833802,0.939194854,pre
-6.291493415,1.152473576,-0.592582048,0.267296362,0.425528611,-1.259158528,-1.389557806,1.964854956,-0.316980296,-0.076058465,-0.630128235,-0.960292177,-2.813966345,-0.525940055,-0.991388292,-0.157627072,-0.125164835,-0.112508769,0.025243353,0.059320796,-0.085355717,-0.090942781,-0.059902715,-0.006592348,-0.067721963,0.873489013,-0.770867942,-5.26015415,0.570069061,#DIV/0!,1.072699555,0.154700071,-5.238305573,0.49577616,pre
1.34231901,2.672182427,1.560277878,1.04032252,1.966368707,-1.22763867,-1.871899043,1.862459124,-0.416061557,-0.068090115,-0.131440248,-0.987159025,-2.880065558,-0.040858341,-1.027269382,0.159092985,-0.030622034,0.004244696,-0.090838417,-0.00058889,0.052914458,-0.116019304,-0.066078315,-0.0567627,-0.079998195,1.694787421,0.073753216,-3.923228978,0.771362555,#DIV/0!,0.302993777,0.043403105,-8.185179475,-0.075984614,pre
#DIV/0!,1.112396574,2.600352834,-0.294450415,0.927371889,-0.89028654,0.386835359,1.474977506,-0.103952679,-0.086309872,-0.706575456,-0.97474808,-2.834050487,-0.892765232,-0.978809631,-0.341312688,-0.222226893,0.067881577,0.131287023,0.096241772,0.14424846,-0.040295182,-0.075642667,-0.015003877,-0.083933893,0.731203469,-0.319635348,-5.060498355,0.285460358,#DIV/0!,-0.174077352,0.4087396,-8.185179475,1.543966089,pre
-0.59416151,2.170658468,1.573716902,0.464671671,0.880246734,-0.916263658,-0.55851187,2.536723077,-0.176336201,-0.081714044,-0.265968533,-1.00179401,-2.852871415,0.30980209,-1.106373548,0.150784388,-0.072623963,0.084467145,0.072504368,-0.059670249,0.097627794,-0.165416031,-0.103772289,-0.060140498,-0.097084941,1.649166419,0.013338406,-2.196817043,0.376364779,#DIV/0!,0.809505193,0.447349177,4.3192811,-0.398096896,pre
-0.495713616,2.672182427,0.565333053,0.484988377,1.049086847,-0.711952823,0.291363486,-0.633804666,-0.13702166,-0.104668916,-0.191200797,-0.960834276,-2.736555503,0.132975396,-0.941744214,-0.07462927,-0.216352226,-0.057142851,-0.041853657,-0.025036996,-0.029084684,-0.099943608,-0.101120434,-0.065493156,-0.097129528,1.455975331,0.352879128,-4.611252307,-0.057986817,#DIV/0!,0.28017421,-0.010968528,-2.589080633,1.747510384,pre
5.660514355,0.961282241,1.200322689,-0.099389871,-0.295691187,-0.96108582,-0.429531061,2.243921059,-0.24478925,-0.081366655,-0.028103995,-1.013581526,-2.850620889,0.210688162,-1.082707431,0.179015257,-0.089888566,-0.079423389,-0.047877036,-0.078391712,-0.019977589,-0.157161305,-0.113673167,0.005334989,-0.09801881,0.623559644,-0.5696239,#DIV/0!,0.677636136,#DIV/0!,0.328375293,0.046155215,#DIV/0!,2.123301253,pre
11.10035324,2.000278253,-0.881844571,0.620401551,1.13110018,-1.110835512,-0.916395288,1.099231336,-0.51088783,-0.094296893,-0.240619249,-1.046176399,-2.876360224,0.172239908,-1.237689639,0.038664745,-0.149871949,0.074006958,-0.043374575,-0.057385972,0.113637862,-0.12258287,-0.106112568,-0.039422696,-0.097567743,0.62878817,0.20747228,-3.039180278,0.072129583,#DIV/0!,-0.008949895,0.376942099,-2.548573675,-0.324039359,pre
11.10035324,2.329020207,3.17872703,0.397900657,0.82276481,-0.645145448,-0.428832766,2.502027199,-0.108852766,-0.076570013,-0.132730061,-1.044704461,-2.91949477,0.014087861,-1.188667326,0.064910946,-0.125572471,0.060061115,-0.114148327,0.005981224,0.038437079,-0.069219233,-0.076681558,-0.090612709,-0.118891449,0.541713466,-0.145926318,-8.643860103,0.333363851,#DIV/0!,-0.153277907,0.598183878,4.3192811,0.054690445,pre
#DIV/0!,1.342794346,0.651137048,0.650801107,1.371019519,-0.716506373,-0.442525955,0.735787178,-0.257256997,-0.099096618,-0.072529184,-1.032848256,-2.783220219,0.261652968,-1.149462985,-0.080514484,-0.181181547,-0.19508374,-0.267818828,0.024866319,-0.253745493,-0.066416144,-0.056812546,-0.114198463,-0.13249098,0.73372102,-0.638171534,-3.15058339,0.121528853,#DIV/0!,0.047515957,0.071228402,-4.117978455,0.909246039,pre
-3.2791605,0.644507478,1.109027165,0.13022453,0.282856805,-1.774647699,-1.409495382,3.252430759,-0.648419238,-0.085228352,0.354873031,-1.068557107,-2.966982816,-0.548736018,-1.128116678,-0.16102815,-0.205530656,0.087906719,0.015481713,-0.085928802,0.095624157,-0.181582704,-0.098679539,-0.071854785,-0.095316638,0.093573054,0.417502942,-3.707645892,-0.247531867,#DIV/0!,-1.018194157,0.074043911,-5.173270387,-1.52105032,pre
